gfortran	4:13.2.0-7ubuntu1	amd64
gfortran-13	13.3.0-6ubuntu2~24.04.1	amd64
gfortran-13-x86-64-linux-gnu	13.3.0-6ubuntu2~24.04.1	amd64
gfortran-x86-64-linux-gnu	4:13.2.0-7ubuntu1	amd64
ghostscript	10.02.1~dfsg1-0ubuntu7.8	amd64
gir1.2-accountsservice-1.0	23.13.9-2ubuntu6.1	amd64
gir1.2-adw-1	1.5.0-1ubuntu2	amd64
gir1.2-atk-1.0	2.52.0-1build1	amd64
gir1.2-atspi-2.0	2.52.0-1build1	amd64
gir1.2-freedesktop	1.80.1-1	amd64
gir1.2-gck-2	4.2.0-5	amd64
gir1.2-gcr-4	4.2.0-5	amd64
gir1.2-gdesktopenums-3.0	46.1-0ubuntu1	amd64
gir1.2-gdkpixbuf-2.0	2.42.10+dfsg-3ubuntu3.3	amd64
gir1.2-gdm-1.0	46.2-1ubuntu1~24.04.9	amd64
gir1.2-geoclue-2.0	2.7.0-3ubuntu7	amd64
gir1.2-girepository-2.0	1.80.1-1	amd64
gir1.2-glib-2.0	2.80.0-6ubuntu3.8	amd64
gir1.2-gmenu-3.0	3.36.0-1.1ubuntu3	amd64
gir1.2-gnomeautoar-0.1	0.4.4-2build4	amd64
gir1.2-gnomebg-4.0	44.0-5build2	amd64
gir1.2-gnomebluetooth-3.0	46.0-1ubuntu1	amd64
gir1.2-gnomedesktop-3.0	44.0-5build2	amd64
gir1.2-gnomedesktop-4.0	44.0-5build2	amd64
gir1.2-gpaste-2	45-2ubuntu5	amd64
gir1.2-graphene-1.0	1.10.8-3build2	amd64
gir1.2-gstreamer-1.0	1.24.2-1ubuntu0.1	amd64
gir1.2-gtk-3.0	3.24.41-4ubuntu1.3	amd64
gir1.2-gtk-4.0	4.14.5+ds-0ubuntu0.10	amd64
gir1.2-gweather-4.0	4.4.2-1build1	amd64
gir1.2-handy-1	1.8.3-1build2	amd64
gir1.2-harfbuzz-0.0	8.3.0-2build2	amd64
gir1.2-ibus-1.0	1.5.29-2	amd64
gir1.2-javascriptcoregtk-4.1	2.52.6-0ubuntu0.24.04.1	amd64
gir1.2-javascriptcoregtk-6.0	2.52.6-0ubuntu0.24.04.1	amd64
